id,value
id_0,25.32919857962803
id_1,63.69965020696402
id_2,18.96375646249452
id_3,29.06215896756974
id_4,9.30289909316582
id_5,33.723750326465456
id_6,41.19537996913439
id_7,18.175042958359818
id_8,52.63646907833498
id_9,32.251036981147806
id_10,38.87193562750092
id_11,59.16283029926612
id_12,35.157704050098495
id_13,41.800076724237286
id_14,26.37289849428533
id_15,12.952323793583693
id_16,51.92416727739187
id_17,23.929112426293067
id_18,18.230916560922566
id_19,19.36213466079984
id_20,15.92091116075138
id_21,31.53291757457834
id_22,39.24364936028589
id_23,11.017353927864722
id_24,60.9299174868733
id_25,45.910072868551
id_26,29.031249157801916
id_27,6.365169875812981
id_28,28.902077746203545
id_29,37.27020750437576
id_30,18.318632165780812
id_31,11.252674681827703
id_32,16.337885297463526
id_33,7.718372911343309
id_34,15.133691933703298
id_35,42.17043562791799
id_36,21.76910078237949
id_37,27.803712868289054
id_38,3.8561469681199263
id_39,59.685485604433424
id_40,48.03728564649098
id_41,20.12436322213631
id_42,52.699988945203884
id_43,18.67437434777085
id_44,45.28717430154131
id_45,48.42385824486155
id_46,57.397611396442066
id_47,41.51059637988076
id_48,55.710154904711246
id_49,39.70188860440493
id_50,30.460335930669398
id_51,23.84486228740568
id_52,38.50375777760274
id_53,23.481232176537674
id_54,37.25348277752754
id_55,38.400878127346395
id_56,25.227415957373225
id_57,22.248853156964735
id_58,35.36697631473949
id_59,31.88982392599683
id_60,13.24032740470414
id_61,21.55835435876314
id_62,32.491956473271685
id_63,53.97926806626849
id_64,50.961583844196475
id_65,26.040774943532796
id_66,38.43794366632971
id_67,53.23668623424853
id_68,29.091705145970334
id_69,40.56564863614496
id_70,64.52286109568594
id_71,55.42716919716852
id_72,41.81089869029653
id_73,14.179375913142664
id_74,14.284278622579656
id_75,36.56368758671627
id_76,62.81564974408192
id_77,2.720736402446022
id_78,41.071370457222095
id_79,42.613872895405116
id_80,7.812932279619822
id_81,22.722106941474507
id_82,5.368112451263997
id_83,30.59147826564387
id_84,8.478487779920915
id_85,5.432091428657561
id_86,16.661858046713366
id_87,10.58112445069515
id_88,20.374910639266083
id_89,25.652073875516827
id_90,35.17887906642655
id_91,11.837699422317929
id_92,12.457700059224273
id_93,9.13237407451945
id_94,37.5451263925864
id_95,15.263296684704862
id_96,16.475639885146705
id_97,9.370373636439425
id_98,12.045212713928386
id_99,4.707381543274963
id_100,9.624610666380999
id_101,17.73353753245603
id_102,12.563567307952052
id_103,7.971036898911663
id_104,12.905072141603107
id_105,36.3110085829605
id_106,26.793061375317873
id_107,7.399317607371483
id_108,16.85979409261646
id_109,14.96289692844923
id_110,12.162145428580816
id_111,17.02709465060873
id_112,16.084981753940006
id_113,26.590732526924832
id_114,18.860739585654386
id_115,16.433831063919655
id_116,6.049401675753462
id_117,46.214318761474914
id_118,26.889635480052743
id_119,0.45908239713068966
id_120,-0.9288381871391422
id_121,9.339111386720134
id_122,12.567878290347295
id_123,13.015147298331613
id_124,7.6596941937358025
id_125,24.951663484159738
id_126,20.757998055436136
id_127,10.235643594171586
id_128,20.666939819774022
id_129,14.070790464876282
id_130,-0.3586165746292558
id_131,32.808232909981605
id_132,14.260651098126104
id_133,20.552012742407097
id_134,26.1961808550066
id_135,23.96458680187836
id_136,9.996895870466362
id_137,21.058696167807383
id_138,78.46769014566738
id_139,60.19468300372951
id_140,27.034571791813228
id_141,18.139407751770793
id_142,24.62981666871804
id_143,7.2602374567332735
id_144,11.678653765482155
id_145,10.290195216787776
id_146,19.915191550323385
id_147,7.902600306861331
id_148,12.665026862254242
id_149,15.510116176600098
id_150,46.454114755302356
id_151,21.97781216306453
id_152,22.19843312613278
id_153,14.60723993284774
id_154,13.876840853801665
id_155,24.924733381097795
id_156,25.17050235404395
id_157,36.24338201936428
id_158,4.57717493633422
id_159,23.670493067119395
id_160,42.09890143010598
id_161,19.442753093850307
id_162,64.04104396597347
id_163,17.161492900998276
id_164,33.77343523757662
id_165,23.554654458804986
id_166,24.440041872449846
id_167,0.29023708416948324
id_168,66.67425388005489
id_169,15.129502436935045
id_170,15.862042229260219
id_171,69.19373207939842
id_172,20.11366211863605
id_173,1.713976846327796
id_174,23.418748146266914
id_175,-0.4187691332887695
id_176,7.2938132469334
id_177,17.822560486227456
id_178,19.833299647710597
id_179,25.131964222737068
id_180,43.28692844511528
id_181,31.665884255723054
id_182,27.792506424002283
id_183,12.718832108101035
id_184,6.3782686380044495
id_185,41.69969819529
id_186,35.982756881588685
id_187,34.8055875405503
id_188,17.51381905094108
id_189,23.36428522803559
id_190,14.756262623023058
id_191,16.369948543669437
id_192,31.159689540337617
id_193,69.93385286212623
id_194,29.09881010532412
id_195,10.504382103404328
id_196,63.67948254424204
id_197,15.564446357623924
id_198,20.414503797659286
id_199,20.978954601388704
id_200,124.00200222879779
id_201,23.184243817902242
id_202,58.67087875777651
id_203,6.680816513164007
id_204,60.844788187942484
id_205,37.33951141493141
id_206,15.212918661900702
id_207,13.96691899140408
id_208,63.43871399049273
id_209,14.454908996676025
id_210,36.10027954090502
id_211,69.09651552640292
id_212,19.146082851143113
id_213,113.2920224924882
id_214,41.53793128275005
id_215,78.66928392459815
id_216,92.4740749616335
id_217,72.09611187087398
id_218,30.782674852888288
id_219,18.734212443463914
id_220,29.83022079632966
id_221,57.90635165584872
id_222,27.889533989113666
id_223,37.647562182740955
id_224,43.80834918466946
id_225,10.487057590327478
id_226,3.485203931726616
id_227,80.62690494224444
id_228,31.12936185180954
id_229,0.8998391677455047
id_230,41.26970484677593
id_231,16.23799700945354
id_232,21.773470904932616
id_233,8.11100277087155
id_234,14.335257664161558
id_235,25.61167041498615
id_236,13.654168206851082
id_237,2.508198851311718
id_238,21.988223619587764
id_239,11.083830352134807
